,lr,gamma,epsilon_decay,update_freq,eval_1,eval_2,eval_3,average
0,0.0001,0.8,1e-05,50,8553.47,8430.58,8557.45,8513.833333333334
1,0.0001,0.9,0.0001,100,9943.89,10161.06,10096.69,10067.213333333333
2,0.0001,0.95,0.001,150,26629.87,26718.36,26542.9,26630.376666666667
3,0.0001,0.99,0.01,200,20395.44,20582.21,20647.4,20541.68333333333
4,0.001,0.8,0.0001,150,9594.16,9630.14,9724.68,9649.66
5,0.001,0.9,1e-05,200,12295.69,12231.72,12132.94,12220.116666666667
6,0.001,0.95,0.01,50,10901.19,11059.34,10754.28,10904.936666666666
7,0.001,0.99,0.001,100,22684.04,22325.43,23005.05,22671.506666666668
8,0.01,0.8,0.001,200,9921.31,9911.23,10026.68,9953.073333333334
9,0.01,0.9,0.01,150,16542.93,16691.26,16832.08,16688.756666666668
10,0.01,0.95,1e-05,100,12840.08,12784.63,12666.42,12763.71
11,0.01,0.99,0.0001,50,24721.11,25115.22,25195.96,25010.763333333336
12,0.1,0.8,0.01,100,10528.58,10307.21,10527.92,10454.57
13,0.1,0.9,0.001,50,18601.64,18438.52,18598.22,18546.126666666667
14,0.1,0.95,0.0001,200,23734.3,23840.26,23846.9,23807.153333333332
15,0.1,0.99,1e-05,150,26215.09,26095.69,26218.59,26176.456666666665
